tagname,value,timestamp,ist_timestamp
RB_File[173].Cab_Body_Code,,2026-09-10T00:30:12.463Z,2026-09-10 06:00:12.463
RB_File[173].Cab_Body_Code,,2026-09-10T00:30:23.208Z,2026-09-10 06:00:23.208
RB_File[173].Cab_Body_Code,,2026-09-10T00:30:33.954Z,2026-09-10 06:00:33.954
RB_File[173].Cab_Body_Code,,2026-09-10T00:30:44.707Z,2026-09-10 06:00:44.707
RB_File[173].Cab_Body_Code,,2026-09-10T00:30:55.445Z,2026-09-10 06:00:55.445
RB_File[173].Cab_Body_Code,,2026-09-10T00:31:06.253Z,2026-09-10 06:01:06.253
RB_File[173].Cab_Body_Code,,2026-09-10T00:31:17.029Z,2026-09-10 06:01:17.029
RB_File[173].Cab_Body_Code,,2026-09-10T00:31:27.752Z,2026-09-10 06:01:27.752
RB_File[173].Cab_Body_Code,,2026-09-10T00:31:38.484Z,2026-09-10 06:01:38.484
RB_File[173].Cab_Body_Code,,2026-09-10T00:31:49.263Z,2026-09-10 06:01:49.263
RB_File[173].Cab_Body_Code,,2026-09-10T00:32:00.016Z,2026-09-10 06:02:00.016
RB_File[173].Cab_Body_Code,,2026-09-10T00:32:10.800Z,2026-09-10 06:02:10.800
RB_File[173].Cab_Body_Code,,2026-09-10T00:32:21.568Z,2026-09-10 06:02:21.568
RB_File[173].Cab_Body_Code,,2026-09-10T00:32:32.329Z,2026-09-10 06:02:32.329
RB_File[173].Cab_Body_Code,,2026-09-10T00:32:43.078Z,2026-09-10 06:02:43.078
RB_File[173].Cab_Body_Code,,2026-09-10T00:32:53.842Z,2026-09-10 06:02:53.842
RB_File[173].Cab_Body_Code,,2026-09-10T00:33:04.604Z,2026-09-10 06:03:04.604
RB_File[173].Cab_Body_Code,,2026-09-10T00:33:15.340Z,2026-09-10 06:03:15.340
RB_File[173].Cab_Body_Code,,2026-09-10T00:33:26.071Z,2026-09-10 06:03:26.071
RB_File[173].Cab_Body_Code,,2026-09-10T00:33:36.805Z,2026-09-10 06:03:36.805
RB_File[173].Cab_Body_Code,,2026-09-10T00:33:47.552Z,2026-09-10 06:03:47.552
RB_File[173].Cab_Body_Code,,2026-09-10T00:33:58.313Z,2026-09-10 06:03:58.313
RB_File[173].Cab_Body_Code,,2026-09-10T00:34:09.101Z,2026-09-10 06:04:09.101
RB_File[173].Cab_Body_Code,,2026-09-10T00:34:19.862Z,2026-09-10 06:04:19.862
RB_File[173].Cab_Body_Code,,2026-09-10T00:34:30.636Z,2026-09-10 06:04:30.636
RB_File[173].Cab_Body_Code,,2026-09-10T00:34:41.415Z,2026-09-10 06:04:41.415
RB_File[173].Cab_Body_Code,,2026-09-10T00:34:52.201Z,2026-09-10 06:04:52.201
RB_File[173].Cab_Body_Code,,2026-09-10T00:35:02.971Z,2026-09-10 06:05:02.971
RB_File[173].Cab_Body_Code,,2026-09-10T00:35:13.761Z,2026-09-10 06:05:13.761
RB_File[173].Cab_Body_Code,,2026-09-10T00:35:24.543Z,2026-09-10 06:05:24.543
RB_File[173].Cab_Body_Code,,2026-09-10T00:35:35.319Z,2026-09-10 06:05:35.319
RB_File[173].Cab_Body_Code,,2026-09-10T00:35:46.063Z,2026-09-10 06:05:46.063
RB_File[173].Cab_Body_Code,,2026-09-10T00:35:56.848Z,2026-09-10 06:05:56.848
RB_File[173].Cab_Body_Code,,2026-09-10T00:36:07.645Z,2026-09-10 06:06:07.645
RB_File[173].Cab_Body_Code,,2026-09-10T00:36:18.416Z,2026-09-10 06:06:18.416
RB_File[173].Cab_Body_Code,,2026-09-10T00:36:29.182Z,2026-09-10 06:06:29.182
RB_File[173].Cab_Body_Code,,2026-09-10T00:36:39.958Z,2026-09-10 06:06:39.958
RB_File[173].Cab_Body_Code,,2026-09-10T00:36:50.730Z,2026-09-10 06:06:50.730
RB_File[173].Cab_Body_Code,,2026-09-10T00:37:01.504Z,2026-09-10 06:07:01.504
RB_File[173].Cab_Body_Code,,2026-09-10T00:37:12.278Z,2026-09-10 06:07:12.278
RB_File[173].Cab_Body_Code,,2026-09-10T00:37:23.015Z,2026-09-10 06:07:23.015
RB_File[173].Cab_Body_Code,,2026-09-10T00:37:33.795Z,2026-09-10 06:07:33.795
RB_File[173].Cab_Body_Code,,2026-09-10T00:37:44.553Z,2026-09-10 06:07:44.553
RB_File[173].Cab_Body_Code,,2026-09-10T00:37:55.329Z,2026-09-10 06:07:55.329
RB_File[173].Cab_Body_Code,,2026-09-10T00:38:06.105Z,2026-09-10 06:08:06.105
RB_File[173].Cab_Body_Code,,2026-09-10T00:38:16.859Z,2026-09-10 06:08:16.859
RB_File[173].Cab_Body_Code,,2026-09-10T00:38:27.618Z,2026-09-10 06:08:27.618
RB_File[173].Cab_Body_Code,,2026-09-10T00:38:38.370Z,2026-09-10 06:08:38.370
RB_File[173].Cab_Body_Code,,2026-09-10T00:38:49.097Z,2026-09-10 06:08:49.097
RB_File[173].Cab_Body_Code,,2026-09-10T00:38:59.844Z,2026-09-10 06:08:59.844
RB_File[173].Cab_Body_Code,,2026-09-10T00:39:10.624Z,2026-09-10 06:09:10.624
RB_File[173].Cab_Body_Code,,2026-09-10T00:39:21.364Z,2026-09-10 06:09:21.364
RB_File[173].Cab_Body_Code,,2026-09-10T00:39:32.145Z,2026-09-10 06:09:32.145
RB_File[173].Cab_Body_Code,,2026-09-10T00:39:42.934Z,2026-09-10 06:09:42.934
RB_File[173].Cab_Body_Code,,2026-09-10T00:39:53.712Z,2026-09-10 06:09:53.712
RB_File[173].Cab_Body_Code,,2026-09-10T00:40:04.447Z,2026-09-10 06:10:04.447
RB_File[173].Cab_Body_Code,,2026-09-10T00:40:15.192Z,2026-09-10 06:10:15.192
RB_File[173].Cab_Body_Code,,2026-09-10T00:40:25.951Z,2026-09-10 06:10:25.951
RB_File[173].Cab_Body_Code,,2026-09-10T00:40:36.747Z,2026-09-10 06:10:36.747
RB_File[173].Cab_Body_Code,,2026-09-10T00:40:47.475Z,2026-09-10 06:10:47.475
RB_File[173].Cab_Body_Code,,2026-09-10T00:40:58.244Z,2026-09-10 06:10:58.244
RB_File[173].Cab_Body_Code,,2026-09-10T00:41:09.034Z,2026-09-10 06:11:09.034
RB_File[173].Cab_Body_Code,,2026-09-10T00:41:19.807Z,2026-09-10 06:11:19.807
RB_File[173].Cab_Body_Code,,2026-09-10T00:41:30.599Z,2026-09-10 06:11:30.599
RB_File[173].Cab_Body_Code,,2026-09-10T00:41:41.338Z,2026-09-10 06:11:41.338
RB_File[173].Cab_Body_Code,,2026-09-10T00:41:52.076Z,2026-09-10 06:11:52.076
RB_File[173].Cab_Body_Code,,2026-09-10T00:42:02.832Z,2026-09-10 06:12:02.832
RB_File[173].Cab_Body_Code,,2026-09-10T00:42:13.622Z,2026-09-10 06:12:13.622
